HstNummer;Name mit Ort;Name ohne Ort;Ort;GKZ;Globale ID;Tarifgebiete;MVTT X;MVTT Y;WGS84 X;WGS84 Y
1;Karlsplatz (Stachus);Karlsplatz (Stachus);München;9162000;de:09162:1;1;4467751;826449;48,13916696;11,56524034
2;Marienplatz;Marienplatz;München;9162000;de:09162:2;1;4468673;826758;48,13643422;11,57765115
3;Isartor;Isartor;München;9162000;de:09162:3;1;4469056;827043;48,13388994;11,58281763
4;Rosenheimer Platz;Rosenheimer Platz;München;9162000;de:09162:4;1;4469877;827637;48,12858746;11,59388958
5;Ostbahnhof;Ostbahnhof;München;9162000;de:09162:5;1,2;4470634;827691;48,12813726;11,60406235
6;Hauptbahnhof;Hauptbahnhof;München;9162000;de:09162:6;1;4467444;826320;48,14031142;11,56110561
7;Hackerbrücke;Hackerbrücke;München;9162000;de:09162:7;1;4466528;825956;48,14353731;11,54876929
8;Donnersbergerbrücke;Donnersbergerbrücke;München;9162000;de:09162:8;1,2;4465474;826046;48,14267154;11,53461386
9;Laim;Laim;München;9162000;de:09162:9;2,3;4463134;825977;48,14316061;11,50316564
10;Pasing;Pasing;München;9162000;de:09162:10;3,4;4459973;825325;48,14883279;11,46063024
11;Leonrodplatz;Leonrodplatz;München;9162000;de:09162:11;2;4466438;824185;48,15945926;11,54742011
12;Hochschule München (Lothstr.);Hochschule München (Lothstr.);München;9162000;de:09162:12;2;4466911;824765;48,15426811;11,55382302
13;Sandstraße;Sandstraße;München;9162000;de:09162:13;1,2;4467227;825177;48,15057935;11,55810182
14;Karlspl.(Stachus) Nord;Karlspl.(Stachus) Nord;München;9162000;de:09162:14;1;4467712;826372;48,13985745;11,56471049
15;Karlstraße;Karlstraße;München;9162000;de:09162:15;1;4467337;825823;48,14477549;11,55962974
16;Lenbachplatz;Lenbachplatz;München;9162000;de:09162:16;1;4467981;826262;48,1408603;11,56831656
17;Nationaltheater;Nationaltheater;München;9162000;de:09162:17;1;4468748;826433;48,13936067;11,57863492
18;Kammerspiele;Kammerspiele;München;9162000;de:09162:18;1;4469077;826528;48,13852242;11,58306231
19;Maxmonument;Maxmonument;München;9162000;de:09162:19;1;4469450;826638;48,13755122;11,58808181
20;Marienplatz (Theatinerstr.);Marienplatz (Theatinerstr.);München;9162000;de:09162:20;1;4468500;826418;48,13948332;11,57530165
20;Theatinerstraße;Theatinerstraße;München;9162000;de:09162:20;1;4468500;826418;48,13948332;11,57530165
21;Maximilianeum;Maximilianeum;München;9162000;de:09162:21;1;4470035;826806;48,13606823;11,59595351
22;Flurstraße;Flurstraße;München;9162000;de:09162:22;1;4470693;826859;48,13562229;11,60479759
23;Grillparzerstraße;Grillparzerstraße;München;9162000;de:09162:23;1,2;4471016;826784;48,13631159;11,60913205
24;Prinzregenten-/Grillparzerstr.;Prinzregenten-/Grillparzerstr.;München;9162000;de:09162:24;;;;;
25;Alter Messeplatz;Alter Messeplatz;München;9162000;de:09162:25;1,2;4466337;826954;48,13455213;11,54628178
26;Isartor/Zweibrückenstraße;Isartor/Zweibrückenstraße;München;9162000;de:09162:26;1;4469113;827168;48,13276857;11,58359248
27;Ridlerstraße;Ridlerstraße;München;9162000;de:09162:27;1,2;4465810;827383;48,13066597;11,53923611
29;Landshuter Allee;Landshuter Allee;München;9162000;de:09162:29;2;4465653;825042;48,15171026;11,53693796
30;Poccistraße;Poccistraße;München;9162000;de:09162:30;1,2;4466579;828008;48,12508618;11,54961578
31;Hirschgarten;Hirschgarten;München;9162000;de:09162:31;2;4464348;825942;48,14354464;11,51947521
32;Hochschule München;Hochschule München;München;9162000;de:09162:32;2;4466872;824640;48,15539021;11,55328912
33;Hofgarten;Hofgarten;München;9162000;;1;4468975;826205;48,14142223;11,58166829
34;Nordbad;Nordbad;München;9162000;de:09162:34;2;4467628;824029;48,16092396;11,56340341
35;Görresstraße;Görresstraße;München;9162000;de:09162:35;2;4467535;824576;48,15600001;11,56219513
36;Georgenstraße;Georgenstraße;München;9162000;de:09162:36;1,2;4469117;824673;48,15520658;11,58346499
38;Müllerstraße;Müllerstraße;München;9162000;de:09162:38;1;4468213;827319;48,13136624;11,57151281
40;Goetheplatz;Goetheplatz;München;9162000;de:09162:40;1;4467236;827516;48,12954498;11,55840296
41;Eduard-Schmid-Straße;Eduard-Schmid-Straße;München;9162000;de:09162:41;1;4468724;827889;48,1262655;11,57841949
42;Mariahilfplatz;Mariahilfplatz;München;9162000;de:09162:42;1;4468920;828103;48,12435058;11,58106793
43;Kurfürstenplatz;Kurfürstenplatz;München;9162000;de:09162:43;2;4468488;824099;48,16033771;11,5749685
44;Winzererstraße;Winzererstraße;München;9162000;de:09162:44;2;4467382;824386;48,15770085;11,56012416
45;Infanteriestraße Süd;Infanteriestraße Süd;München;9162000;de:09162:45;2;4467289;824519;48,15649999;11,55888439
46;Haidenauplatz;Haidenauplatz;München;9162000;de:09162:46;1,2;4471083;827214;48,13244758;11,61006145
47;Elisabethplatz;Elisabethplatz;München;9162000;de:09162:47;2;4468489;824399;48,15763984;11,57500419
48;Nordendstraße;Nordendstraße;München;9162000;de:09162:48;2;4468517;824706;48,15488035;11,57540328
49;Schellingstraße;Schellingstraße;München;9162000;de:09162:49;1,2;4468355;825134;48,15102326;11,57325784
50;Sendlinger Tor;Sendlinger Tor;München;9162000;de:09162:50;1;4467856;827090;48,1334077;11,56669957
51;Pinakotheken;Pinakotheken;München;9162000;de:09162:51;1;4468255;825363;48,14895885;11,57193103
52;Karolinenplatz;Karolinenplatz;München;9162000;de:09162:52;1;4468080;825760;48,14537982;11,56960908
53;Ottostraße;Ottostraße;München;9162000;de:09162:53;1;4467941;826098;48,14233316;11,56776673
54;Donnersbergerstraße;Donnersbergerstraße;München;9162000;de:09162:54;1,2;4465571;825645;48,14628301;11,53588477
55;Hermann-Lingg-Straße;Hermann-Lingg-Straße;München;9162000;de:09162:55;1;4466739;826458;48,13903386;11,55164379
56;Georg-Hirth-Platz;Georg-Hirth-Platz;München;9162000;de:09162:56;1;4467063;826952;48,13460815;11,5560353
57;Beethovenplatz;Beethovenplatz;München;9162000;de:09162:57;1;4467209;827115;48,13314983;11,55800935
58;Kapuzinerplatz/ Arbeitsagentur;Kapuzinerplatz/ Arbeitsagentur;München;9162000;de:09162:58;1,2;4467236;827826;48,12675712;11,55842682
59;Kapuzinerstraße;Kapuzinerstraße;München;9162000;de:09162:59;1,2;4467491;828008;48,12513346;11,56186609
60;Odeonsplatz;Odeonsplatz;München;9162000;de:09162:60;1;4468658;826068;48,14263872;11,57739877
61;Baldeplatz;Baldeplatz;München;9162000;de:09162:61;1,2;4467878;828206;48,1233725;11,56707936
62;Claude-Lorrain-Straße;Claude-Lorrain-Straße;München;9162000;de:09162:62;1,2;4468198;828462;48,12108634;11,57139671
63;Humboldtstraße;Humboldtstraße;München;9162000;de:09162:63;1,2;4468490;828641;48,11949111;11,57533191
64;Barthstraße;Barthstraße;München;9162000;de:09162:64;2;4465145;826310;48,14027941;11,53021475
65;Trappentreustraße;Trappentreustraße;München;9162000;de:09162:65;1,2;4465457;826342;48,14000867;11,53440947
66;Schrenkstraße;Schrenkstraße;München;9162000;de:09162:66;1;4465968;826388;48,13962256;11,54127906
67;Holzapfelstraße;Holzapfelstraße;München;9162000;de:09162:67;1;4466401;826433;48,13924091;11,54710046
68;Reichenbachplatz;Reichenbachplatz;München;9162000;de:09162:68;1;4468594;827108;48,13328273;11,5766156
69;Deutsches Museum;Deutsches Museum;München;9162000;de:09162:69;1;4469300;827271;48,13185134;11,58611215
70;Universität;Universität;München;9162000;de:09162:70;1,2;4468893;825361;48,1490084;11,58050473
71;Am Gasteig;Am Gasteig;München;9162000;de:09162:71;1;4469708;827163;48,13284218;11,5915856
72;Wiener Platz;Wiener Platz;München;9162000;de:09162:72;1;4470022;827026;48,13408913;11,59579436
73;Friedensengel/Villa Stuck;Friedensengel/Villa Stuck;München;9162000;de:09162:73;1,2;4470344;826289;48,14073218;11,60006897
74;Holbeinstraße;Holbeinstraße;München;9162000;de:09162:74;2;4470440;826016;48,14319178;11,60133989
75;Sternwartstraße;Sternwartstraße;München;9162000;de:09162:75;2;4470584;825695;48,14608526;11,60325263
76;Herkomerplatz;Herkomerplatz;München;9162000;de:09162:76;2;4471007;825165;48,15087107;11,60890072
77;Mauerkircherstraße;Mauerkircherstraße;München;9162000;de:09162:77;2;4470401;825389;48,14882866;11,60077219
78;Tivolistraße;Tivolistraße;München;9162000;de:09162:78;2;4470089;825250;48,15006408;11,59656955
79;Paradiesstraße;Paradiesstraße;München;9162000;de:09162:79;1,2;4469820;825664;48,14632821;11,59298387
80;Giselastraße;Giselastraße;München;9162000;de:09162:80;1,2;4469227;824458;48,15714544;11,58492784
81;Nationalmuseum/Haus d.Kunst;Nationalmuseum/Haus d.Kunst;München;9162000;de:09162:81;1;4469483;826023;48,14308358;11,58848105
82;Astallerstraße;Astallerstraße;München;9162000;de:09162:82;2;4465164;826841;48,13550514;11,53051353
83;Tumblingerstraße;Tumblingerstraße;München;9162000;de:09162:83;2;4466893;828214;48,12325003;11,55384955
84;Mariannenplatz;Mariannenplatz;München;9162000;de:09162:84;1;4469348;826898;48,1352081;11,58673011
85;Kazmairstraße;Kazmairstraße;München;9162000;de:09162:85;1,2;4465426;826904;48,13495288;11,53403862
86;Maxvorstadt/Sammlg. Brandhorst;Maxvorstadt/Sammlg. Brandhorst;München;9162000;de:09162:86;1;4468430;825430;48,14836503;11,57428777
87;Bergmannstraße;Bergmannstraße;München;9162000;de:09162:87;1,2;4465651;826909;48,13492011;11,53706188
88;Wörthstraße;Wörthstraße;München;9162000;de:09162:88;1;4470175;827251;48,13207287;11,59786566
89;Orleansstraße;Orleansstraße;München;9162000;de:09162:89;1,2;4470290;828006;48,12528843;11,59946331
90;Holzkirchner Bahnhof;Holzkirchner Bahnhof;München;9162000;de:09162:90;1;4467057;826444;48,13917633;11,55591535
91;Bundesfinanzhof;Bundesfinanzhof;München;9162000;de:09162:91;2;4470752;825456;48,14824238;11,60549376
92;Kustermannpark;Kustermannpark;München;9162000;de:09162:92;2;4470456;828144;48,12405511;11,60170269
93;Tal;Tal;München;9162000;de:09162:93;1;4468803;826805;48,13601793;11,57940119
94;Pinakotheken Süd;Pinakotheken Süd;München;9162000;de:09162:94;;;;;
95;Technische Universität;Technische Universität;München;9162000;de:09162:95;1;4467771;825430;48,14833194;11,56543183
96;Klenzestraße;Klenzestraße;München;9162000;de:09162:96;1;4468151;827990;48,12532875;11,57073012
